prod_id,Brand,Model name,Memory storage capacity,Screen size,Maximum display resolution,Operating system,Colour,Installed RAM memory size,Generation,Model year,Special features,Battery life,Compatible devices,Form factor,Shell type,Material,Max. compatible device size,Pattern,Theme,Number of batteries,Item weight,Item dimensions L x W x H,Are batteries included?,Batteries required?,Charging time,Compatible phone models,Mounting type,Accessory connection type,Age range (description),Connectivity technology,Keyboard description,Number of keys,Style,Included components,Item hardness,Product dimensions,Finish type,Screen surface description,Number of items,Adjustable length,Recommended product uses,Connector type,Cable type,Connector gender,Data transfer rate,Keyboard backlight colour support,Unit count
10121,SAMSUNG,A9+,64 GB,11 Inches,1920 X 1200 (WUXGA) Pixels,Android,Silver,4 GB,6th Generation,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122,Xiaomi,Xiaomi Redmi Pad SE,256 GB,11 Inches,1200 x 1920 Pixels,Android 13.0,Lavender Purple,8 GB,5th Generation,,Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123,Lenovo,Tab M9,32 GB,9,1340 x 800,Android 12,Gray,3 GB,10th Generation,,,13 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125,IWEGGO,CP20 MAX,128 GB,10.1 Inches,1280*800,Android 13,Black,8 GB,Android 13,,Portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126,NOVOJOY,,64 GB,10.1 Inches,1280*800 Pixels,Android,Pink,64 GB,Android 14,2022,"Supports USB OTG, Expandable Storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127,ProCase,,,,,,Navy,,,,"Anti Fall,Anti Slip,Dirt Resistant,Anti Fingerprint,Smudge free,Scratch Resistant,Auto Sleep/Wake,Lightweight,DurableSee more",,iPad 10.2 Inch 7th Generation 2019 Release,Case,Hard,Hard Back,10.2 Inches,Solid,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,UGREEN,,,,,,White,,,,,,iPad 2018-2022,,,Plastic,,,,1 Lithium Polymer batteries required. (included),100 Grams,19.5 x 6.9 x 2.7 centimetres,Yes,Yes,10 Hours,,,,,,,,,,,,,,,,,,,,,,
10130,UGREEN,,,,,,White,,,,,,Tablet,,,Aluminium,,,,1 Lithium Polymer batteries required. (included),15 Grams,16.5 x 0.9 x 0.9 centimetres,Yes,Yes,12 Hours,,,,,,,,,,,,,,,,,,,,,,
10131,UGREEN,,,,,,Grey,,,,"Portable, Foldable, Adjustable",,"Compatible with devices up to 13 inch tablets, ipad and phones.",Grey Tablet Stand Holder,,Aluminium,,,Elegance,,,,,,,"Compatible for iPhone 15 14 13 12 11 Pro Max, XR XS, iPhone 8Plus 6 7 6S, etc.",Tabletop,Bracket,,,,,,,,,,,,,,,,,,,
10132,SAMSUNG,Tab S6 Lite,64 GB,10.4 Inches,2000 x 1200 Pixels,Android,Oxford Gray,4 GB,2nd Generation,,Lightweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133,JETech,,,,,,Black,,,,"Protection, Rotating, Auto Sleep/Wake, Pencil Holder",,iPad 10.2-Inch (2021/2020/2019 Model),Case,Hybrid,"Polyurethane, TPU, Polycarbonate",,Solid,Solid,,,,,,,iPad 10.2-Inch (2021/2020/2019 Model),,,,,,,,,,,,,,,,,,,,,
10134,Logitech,,,,,,Oxford Grey,,,,,,Tablets,Case,Hard,Plastic,,Solid,Modern,,,25.3 x 18.6 x 2 centimetres,,,,,,,Adult,,,,,,,,,,,,,,,,,,
10135,Logitech,,,,,,Gray,,,,"Backlit, Trackpad",,Tablet,,,Other,,,,,,,,,,,,,,smart connector,Multi Functional,78,Modern,Combo Touch Keyboard Case,,,,,,,,,,,,,
10136,Spigen,,,11 Inches,,,,,,,9 godzina Surface Hardness,,"iPad Air 10.9"" (2024)",,,Tempered Glass,,,,,,,,,,,,,,,,,,,9H,35L x 21W centimetres,Glossy,Glossy,1,,,,,,,,
10137,UGREEN,,,,,,black,,,,"360 Degree Rotation, Ergonomic, Gooseneck, Arm",,"iPad Pro 12.9/ iPad Pro 11/ iPad/ iPad Air/ iPad mini/ iPad 10.2/ Galaxy Tab S9+ / Galaxy Tab S9/ Galaxy Tab A7 10.4 (2022)/ Galaxy Tab S6 Lite (2022)/ Galaxy Tab S8+ / Redmi Pad/ Huawei MatePad 11.5/ Huawei MatePad Huawei Huawei / Huawei Mate/ Huawei Pad 11/ Huawei MatePad C5e/ Huawei MatePad Pro 11 etc., iPhone 15/ 15 Plus/ 15 Pro / 15 Pro Max / 14/ 13/ 12/ 11/ SE/ XS Max/ XS / XR/ X/ 8/ 7/ Galaxy F34/ M34/ S23 Ultra/Galaxy S23+/Galaxy S23/ A14/ Redmi K60 Ultra/ Poco M6 Pro/ Note 1212 / 12 / Poco F5 Pro / Huawei Mate 60 Pro + / Mate X5 / nova 11 Ultra/ P60 Pro etc.See more",Swan Neck,,Aluminum Metal,,,tablet stand,,,,,,,"iPad Pro 12.9/ iPad Pro 11/ iPad/ iPad Air/ iPad mini/ iPad 10.2/ Galaxy Tab S9+ / Galaxy Tab S9/ Galaxy Tab A7 10.4 (2022)/ Galaxy Tab S6 Lite (2022)/ Galaxy Tab S8+ / Redmi Pad/ Huawei MatePad 11.5/ Huawei MatePad Huawei Huawei / Huawei Mate/ Huawei Pad 11/ Huawei MatePad C5e/ Huawei MatePad Pro 11 etc., iPhone 15/ 15 Plus/ 15 Pro / 15 Pro Max / 14/ 13/ 12/ 11/ SE/ XS Max/ XS / XR/ X/ 8/ 7/ Galaxy F34/ M34/ S23 Ultra/Galaxy S23+/Galaxy S23/ A14/ Redmi K60 Ultra/ Poco M6 Pro/ Note 1212 / 12 / Poco F5 Pro / Huawei Mate 60 Pro + / Mate X5 / nova 11 Ultra/ P60 Pro etc.See more",Tabletop,Clamp,,,,,,,,,,,,,,,,,,,
10138,JETech,,,,,,Black,,,,Auto Sleep/Wake,,iPad 10.2-Inch (2021/2020/2019 Model),Case,Hard,"Polyurethane, Polycarbonate",10.2 Inches,Solid,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
