prod_id,prod_type,title,rating,review_count,raw_price,delivery
10001,laptop,Sponsored Ad – Samsonite Litepoint Laptop Backpack,4.3 out of 5 stars,30,S$322.00,FREE Delivery
10002,laptop,"Sponsored Ad – LG 15Z90ST gram 15.6"" SuperSlim Ultra-slim and Ultra-light FHD OLED Display with Intel® Core™ Ultra5 125H",N/A,Not found,"S$2,275.00","Get it as soon as Fri, 7 Mar"
10003,laptop,"Sponsored Ad – Samsonite Litepoint Laptop Backpack, Black (Black), Laptop Backpack 14.1"", Minimalistic",4.3 out of 5 stars,36,S$189.00,FREE Delivery
10004,laptop,"Sponsored Ad – LG 14T90S gram 14"" 2in1 Ultra-lightweight WUXGA IPS Touch Display Stylus Pen with Intel® Core™ i5 Processor",N/A,Not found,"S$2,399.00",Temporarily out of stock.
10005,laptop,"ASUS L410 MA-DB02 Ultra Thin Laptop, 14” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode, Star Black",4.3 out of 5 stars,"15,784",S$223.30,
10006,laptop,"Lenovo IdeaPad Slim 3 Chromebook - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display - HD 720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue",4.4 out of 5 stars,82,S$264.15,
10007,laptop,"HP New 14"" HD Ultra Light Thin Laptop, Quad-Core Intel Celeron Processor, 8GB RAM, 192GB (64GB eMMC+ 128GB Card), Wi-Fi, Upto 11 Hours, Windows 11 S + 1 Year Office 365+HubxcelAccessory, Black",4.2 out of 5 stars,469,S$391.62,
10008,laptop,"ASUS VivoBook 15 Business Laptop 15.6"" FHD Anti-Glare AMD Ryzen 3 3250U 8GB RAM 128GB SSD USB-C VGA Camera SonicMaster Win11 w/ICP Accessory",4.3 out of 5 stars,31,S$391.76,
10009,laptop,"HP 17 Laptop, 17.3"" FHD Display, 32GB RAM, 1TB SSD, AMD Ryzen 5 Processor(Beats i7-1165G7, Up to 4.3GHz), Webcam, Numeric Keypad, Long Battery Life, Windows 11 Home, Alpacatec Accessories, Silver",4.0 out of 5 stars,31,S$824.00,
10010,laptop,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black, KKE Mousepad",4.0 out of 5 stars,"1,702",S$364.92,
10011,laptop,"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",4.3 out of 5 stars,147,S$565.52,
10012,laptop,"HP 15 Laptop, 15.6"" HD Screen, Intel Pentium N5030 Processor, 16GB DDR4 RAM, 1TB SSD, HDMI, Media Card Reader, RJ45, Wi-Fi, Windows 11 Home, Black",4.2 out of 5 stars,364,S$617.15,
10013,laptop,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",4.5 out of 5 stars,"1,650","S$1,949.00","Get it Tue, 18 Mar - Wed, 26 Mar"
10014,laptop,"Dell Vostro 3000 Series 3520 15.6"" FHD Business Laptop Computer, 12th Gen Intel 10-Cores i7-1255U, 64GB DDR4 RAM, 2TB PCIe SSD, 802.11ac WiFi, Bluetooth, Webcan, Carbon Black, Windows 11 Pro",4.4 out of 5 stars,11,"S$1,292.14",
10015,laptop,"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 64GB RAM, 2TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",3.9 out of 5 stars,139,"S$1,057.63",
10016,laptop,"Lenovo IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS",3.7 out of 5 stars,9,S$275.01,
10017,laptop,"acer Aspire 3 Laptop | 15.6"" Full HD Display | AMD Ryzen 7 5700U Processor | AMD Radeon Graphics | 16GB RAM | 512GB SSD | Wi-Fi 6 | Windows 11 Home | DealExpress Accessories",4.3 out of 5 stars,91,S$713.58,
10018,laptop,"ASUS Vivobook S 14 OLED Slim Laptop, Intel Core Ultra 9 185H, 16GB, 1TB SSD, Fast Charging, RGB Keyboard, Thunderbolt 4, Neutral Black, S5406MA-AS96, Intel Evo Edition",4.1 out of 5 stars,66,"S$1,443.54",
10019,laptop,"ASUS 14"" FHD (1920 x 1080) IPS LED Laptop, Intel Pentium N6000, 4-core, 4GB Memory, 64GB eMMC, Star Black, Windows 11 Home, HDMI, TWE Mouse Pad & Micro 64GB SD Card",N/A,Not found,S$257.28,
10020,laptop,"Lenovo 15.6"" IdeaPad Essential Laptop Computer, Windows 11 Pro with Microsoft Office Lifetime Suite, Intel Dual Core Processor, PLUSERA Earphones (Intel Dual-Core, 20GB RAM | 1TB SSD + 128GB eMMC)",3.6 out of 5 stars,55,S$649.39,
10021,laptop,"Sponsored Ad – LG 14T90S gram 14"" 2in1 Ultra-lightweight WUXGA IPS Touch Display Stylus Pen with Intel® Core™ i7 Processor",N/A,Not found,"S$2,599.00",Temporarily out of stock.
10022,laptop,Sponsored Ad – L17M4PB0 laptop battery L17C4PB0 L17C4PB2 Compatible for Lenovo ideapad 530S-14IKB 530-141KB Yoga 530 14 530-14ARR Series 7.68V 5930mAh 45Wh,N/A,Not found,S$30.99,"Get it as soon as Fri, 7 Mar"
10023,laptop,"Sponsored Ad – ARMORR Orion 11.6 Inch Portable Monitor IPS Screen with USB Type-C and HDMI in for PS5, PS4, Xbox, PC, Laptop, Smartphone, Gaming Monitor, Nintendo Switch Screen",4.0 out of 5 stars,39,S$123.99,"Get it as soon as Fri, 7 Mar"
10024,laptop,"Sponsored Ad – SenseAGE Magnetic Privacy Screen Filter for MacBook Air 13.6 inch 2022 M2/ M3 (A2681 / A3113), Easy On/Off Anti-Blue Light Privacy Screen Protector, Compatible with MacBook Air 13.6"" 2022-2024 M2/ M3",3.8 out of 5 stars,24,S$38.00,"Get it as soon as Fri, 7 Mar"
10025,laptop,[New 2024 Model ]Acer Aspire Go 15 AG15-31P-C1PX Laptop 15.6-Inch FHD Display with Preloaded Microsoft Office 365,N/A,Not found,S$428.00,"Get it as soon as Sat, 8 Mar"
10026,laptop,"ASUS 2024 Business Laptop, 14"" FHD Display, Intel Celeron N4500, 1-Year of Microsoft 365, 4GB RAM, 64GB eMMC, Intel Graphics, Wi-Fi 5, Windows 11",5.0 out of 5 stars,1,S$289.18,
10027,laptop,"HP Chromebook 14"" HD Laptop, Intel N200 Processor, 4GB LPDDR5 RAM, 128GB UFS, Chrome OS, Glacier Silver, Intel UHD Graphics, Bundle with TWE Mouse Pad",4.0 out of 5 stars,5,S$285.93,
10028,laptop,"Lenovo Chromebook 14"" Touchscreen Slim Laptop Business Student, 8-Core MediaTek Kompanio 520, 4GB RAM, 128GB Storage (64GB eMMC+64GB Card), WiFi 6, Long Battery, Chrome OS+MarxsolAccessory",4.2 out of 5 stars,38,S$369.60,
10029,laptop,"HP 17.3 inch Laptop, FHD Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, 17-cp2099nr (2024)",4.5 out of 5 stars,117,S$879.11,
10030,laptop,"CHUWI HeroBook Pro 14.1 inch Windows 10 Laptop PC, 8G RAM / 256GB SSD with 1080P Display, Intel Gmini Lake N4000 Notebook, Thin and Lightweight",3.8 out of 5 stars,"2,374",S$302.04,
10031,laptop,"Lenovo Ideapad 14 Laptop, 14"" HD Screen, Intel Pentium Silver N5030, 4GB RAM, 128GB PCIe SSD (NO eMMC), Webcam, HDMI, SD Card Reader, Win 11, Gray, 1 Year Office 365, with Bundled Accessories",4.0 out of 5 stars,142,S$309.93,
10032,laptop,"ASUS 14"" Laptop for Business & Student, 14"" FHD Display, Intel Celeron N4500, 1-Year of Microsoft 365, 4GB Memory, 64GB eMMC, NumberPad, Webcam, Wi-Fi, HDMI, Windows 11",4.0 out of 5 stars,1,S$261.53,
10033,laptop,"Lenovo IdeaPad Slim 3 15.6"" 12th Generation with Intel® Core™ i5 Processor 12450H Memory 16GB SSD512GB Windows11 Battery Powered 11.4 Hours Weight 1.62kg Abyss Blue 83ER00DCJP",4.4 out of 5 stars,15,S$959.77,"Get it as soon as Mon, 10 Mar"
10034,laptop,"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home in S Mode, Transparent Silver, M515DA-WS33",4.3 out of 5 stars,447,S$523.22,
10035,laptop,"ASUS Vivobook 16 FHD+ Ryzen 7 Laptop, 16"" FHD+ 1920 * 1200, AMD Ryzen 7 7730U (Beats Intel i7-1255U), 16GB RAM, 1TB SSD, Backlit KB, FP Reader, Touchpad, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Black",4.9 out of 5 stars,19,S$981.29,
10036,laptop,"acer Chromebook 315 Laptop, 15.6"" HD Display, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 64GB eMMC, Intel UHD Graphics, 12.5H Long Battery, WiFi, Bluetooth, Chrome OS",4.3 out of 5 stars,147,S$262.36,
10037,laptop,"acer Chromebook 315 Laptop, 15.6"" HD Laptop, Intel Pentium N6000, 4-Core, 4GB LPDDR4X, 128GB eMMC, Webcam, WiFi 6, Chrome OS, Protective Sleeve, Silver, TWE 64GB Micro SD Card",3.7 out of 5 stars,3,S$266.73,
10038,laptop,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",4.2 out of 5 stars,940,"S$1,122.74",
10039,laptop,"HP Premium 14"" Stream HD Laptop, Intel Celeron N4120 CPU, 16GB RAM, 64GB eMMC, Webcam, UHD Graphics, Bluetooth, WiFi, HDMI, 1 Year Office 365, Win 11s, White, 32GB Hotface USB Card",4.0 out of 5 stars,766,S$388.63,
10040,laptop,"HP 15 Notebook Laptop, 15.6"" Full HD Display, Intel Core i5-1135G7 Processor, 16GB DDR4 RAM, 512GB PCIe SSD, USB Type-C, Webcam, Wi-Fi, Windows 11 Home, Silver",4.1 out of 5 stars,151,S$729.25,
10041,laptop,"HP 2024 Stream 14 inch Laptop for Students and Business, Silver Laptop 16GB RAM + 128GB eMMC Storage, 1-Year Office 365, ‎Intel Celeron N4120, Intel UHD Graphics, Win 11 S",3.8 out of 5 stars,4,S$373.69,
10042,laptop,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",4.2 out of 5 stars,491,S$540.57,
10043,laptop,"HP 14 Inch Thin and Light Laptop for Student and Business, Intel Celeron N4120, 12H Long Battery, 16GB RAM, 320GB Storage (64GB eMMC+256GB Micro SD), UHD Graphics, Jet Black, Win 11 Home S",4.0 out of 5 stars,23,S$397.84,
10044,laptop,"HP Stream 14"" HD Thin and Light Laptop, Intel Celeron N4120, 16GB RAM, 128GB eMMC Storage, Long Battery Life, HD Webcam, HDMI, Silver, Office 365 1-Year, Windows 11 S, 128GB Cuertns MicroSD",4.2 out of 5 stars,123,S$362.89,
10045,laptop,"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-99DR",3.9 out of 5 stars,83,"S$1,523.73",
10046,laptop,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Black",4.2 out of 5 stars,629,S$502.57,
10047,laptop,"Gaming Laptop, 12GB RAM 512GB ROM Fingerprint Reader 15.6 Inch Laptop Quad Core CPU IPS Display Rose Gold 1920x1080 for Home (12+512G UK Plug)",N/A,Not found,S$387.72,"Get it as soon as Fri, 7 Mar"
10048,laptop,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",4.0 out of 5 stars,767,S$333.30,
10049,laptop,"Lenovo IdeaPad 15.6"" FHD Premium Laptop | Intel Pentium Silver N6000 Processor | Intel UHD Graphics | Windows 11 Home | Blue (Blue, 12GB RAM | 128GB SSD)",4.3 out of 5 stars,28,S$382.58,
10050,laptop,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB Emmc+ 128GB USB Card), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",4.1 out of 5 stars,485,S$503.83,
10051,laptop,"ASUS Vivobook Laptop, 16"" FHD+ (1920 x 1200) Display, Intel Core i7-1255U Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",4.2 out of 5 stars,78,S$965.90,
10052,laptop,"Lenovo IdeaPad Flex 3i Chromebook Laptop, Intel® UHD Graphics, 15.6” FHD Display, Intel Pentium N6000, 8GB RAM, 128GB SSD, 1920x1080 px, Touchscreen, Chrome OS, Abyss Blue",4.2 out of 5 stars,125,S$641.56,
10053,laptop,"ASUS Vivobook go 14"" FHD Laptop, Intel Pentium N6000 (Up to 3.30GHz), 1920x1080 Display, 4GB Memory, 64GB eMMC, 1-Year of Microsoft 365, NumberPad, Webcam, HDMI, Wi-Fi, Win11H in S Mode, E410KA",2.7 out of 5 stars,5,S$268.21,
10054,laptop,"HP Notebook Laptop, 14"" HD (1366 x 768) Display, AMD Ryzen 5 5500U (6 Cores), 16GB RAM, 256GB PCIe SSD, HDMI, SD Card Reader, Windows 11 Home, Natural Silver, TWE Mouse Pad",5.0 out of 5 stars,5,S$586.66,
10055,laptop,"MSI Prestige 14H 14” FHD+ Business Laptop: Intel Core i5-12500H, NVIDIA Geforce RTX 2050, 16GB LPDDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11 Pro: Urban Silver B12UCX-629US",N/A,Not found,"S$1,062.96",
10056,laptop,"Lenovo Ideapad 3i Flagship 14'' FHD Laptop for Business and Students Essential, 12GB RAM, 512GB NVMe SSD, Intel Dual Core Processor, Wi-Fi 6, HDMI, Dolby Audio, Windows 11 Home, GM Accessories, Gray",4.0 out of 5 stars,39,S$549.37,
10057,laptop,"Sponsored Ad – QYiiD TouchPad Keyboard Case for Huawei MatePad 10.4"" 2020, Magnetically Detachable Wireless Bluetooth Keyboard for for Huawei MatePad 10.4"" 2020, RoseGold",N/A,Not found,S$72.99,"Get it Fri, 28 Mar - Mon, 7 Apr"
10058,laptop,"Sponsored Ad – QYiiD TouchPad Keyboard Case for Huawei MatePad 10.4"" 2020, Magnetically Detachable Wireless Bluetooth Keyboard for for Huawei MatePad 10.4"" 2020, Black",N/A,Not found,S$72.99,"Get it Fri, 28 Mar - Mon, 7 Apr"
10059,laptop,"Sponsored Ad – LENCENT Universal Travel Adapter,PD20W International Charger with 2 USB Ports & type-C Fast Charging Adaptor, Worldwide Wall Charger for iPhone,Laptop, USA/UK/EU/AUS, (Black)",4.6 out of 5 stars,"2,112",S$39.99,"Get it as soon as Fri, 7 Mar"
10060,laptop,"Sponsored Ad – LENCENT USB Plug Extension with 2 USB Ports, 3 Way USB Socket Extension, 5-in-1 USB Outlet Plug Extender for Household Appliances, iPhone, Smartphone Tablets, Ideal for Home Office Bedroom, 13A 3250W",4.7 out of 5 stars,353,S$17.76,"Get it as soon as Fri, 7 Mar"
