prod_id,prod_type,title,rating,review_count,price,delivery,link
10001,laptop,Sponsored Ad – Samsonite Litepoint Laptop Backpack,4.3 out of 5 stars,30,S$322.00,FREE Delivery,https://www.amazon.sg/sspa/click?ie=UTF8&spc=MToyMDU2NTQ3MDkyNzI1MDg2OjE3NDExNjQ4NjI6c3BfYXRmOjMwMDA4MjI4NTEwMjk2Mjo6MDo6&url=%2FSamsonite-Litepoint-Backpack-centimeters-Backpacks%2Fdp%2FB093V7Z27G%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741164861%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
10002,laptop,"Sponsored Ad – LG 15Z90ST gram 15.6"" SuperSlim Ultra-slim and Ultra-light FHD OLED Display with Intel® Core™ Ultra5 125H",N/A,Not found,"S$2,275.00","Get it as soon as Fri, 7 Mar",https://www.amazon.sg/sspa/click?ie=UTF8&spc=MToyMDU2NTQ3MDkyNzI1MDg2OjE3NDExNjQ4NjI6c3BfYXRmOjMwMDA4MzI2MzE4MTM2Mjo6MDo6&url=%2FLG-15Z90ST-SuperSlim-Ultra-slim-Ultra-light%2Fdp%2FB0D1VPDWH5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741164861%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
10003,laptop,"Sponsored Ad – LG 14T90S gram 14"" 2in1 Ultra-lightweight WUXGA IPS Touch Display Stylus Pen with Intel® Core™ i5 Processor",N/A,Not found,"S$2,399.00",Temporarily out of stock.,https://www.amazon.sg/sspa/click?ie=UTF8&spc=MToyMDU2NTQ3MDkyNzI1MDg2OjE3NDExNjQ4NjI6c3BfYXRmOjMwMDA4MzI2MzE4MDk2Mjo6MDo6&url=%2FLG-14T90S-Ultra-lightweight-Display-Processor%2Fdp%2FB0D3D7SCCB%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741164861%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
10004,laptop,"Sponsored Ad – LG 14T90S gram 14"" 2in1 Ultra-lightweight WUXGA IPS Touch Display Stylus Pen with Intel® Core™ i7 Processor",N/A,Not found,"S$2,599.00",Temporarily out of stock.,https://www.amazon.sg/sspa/click?ie=UTF8&spc=MToyMDU2NTQ3MDkyNzI1MDg2OjE3NDExNjQ4NjI6c3BfYXRmOjMwMDA4MzI2MzE4MTA2Mjo6MDo6&url=%2FLG-14T90S-Ultra-lightweight-Display-Processor%2Fdp%2FB0D3D2LZC8%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741164861%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
10005,laptop,"ASUS L410 MA-DB02 Ultra Thin Laptop, 14” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode, Star Black",4.3 out of 5 stars,"15,784",S$223.30,,https://www.amazon.sg/ASUS-MA-DB02-Display-Processor-NumberPad/dp/B08D92T45H/ref=sr_1_5?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-5
10006,laptop,"Lenovo IdeaPad Slim 3 Chromebook - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display - HD 720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue",4.4 out of 5 stars,82,S$264.15,,https://www.amazon.sg/Lenovo-IdeaPad-Slim-Chromebook-Lightweight/dp/B0D5HZVQDL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-6
10007,laptop,"HP New 14"" HD Ultra Light Thin Laptop, Quad-Core Intel Celeron Processor, 8GB RAM, 192GB (64GB eMMC+ 128GB Card), Wi-Fi, Upto 11 Hours, Windows 11 S + 1 Year Office 365+HubxcelAccessory, Black",4.2 out of 5 stars,469,S$391.62,,https://www.amazon.sg/HP-14-Laptop-Quad-Core-HubxcelAccessory/dp/B0CSC15TVC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-7
10008,laptop,"ASUS VivoBook 15 Business Laptop 15.6"" FHD Anti-Glare AMD Ryzen 3 3250U 8GB RAM 128GB SSD USB-C VGA Camera SonicMaster Win11 w/ICP Accessory",4.3 out of 5 stars,31,S$391.76,,https://www.amazon.sg/ASUS-VivoBook-Anti-Glare-SonicMaster-Accessory/dp/B0DF75RZCF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-8
10009,laptop,"HP 17 Laptop, 17.3"" FHD Display, 32GB RAM, 1TB SSD, AMD Ryzen 5 Processor(Beats i7-1165G7, Up to 4.3GHz), Webcam, Numeric Keypad, Long Battery Life, Windows 11 Home, Alpacatec Accessories, Silver",4.0 out of 5 stars,31,S$824.00,,https://www.amazon.sg/HP-Processor-i7-1165G7-Alpacatec-Accessories/dp/B0DP15YMQ8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-9
10010,laptop,"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",4.3 out of 5 stars,147,S$565.52,,https://www.amazon.sg/ASUS-Vivobook-Display-i3-1215U-Touchpad/dp/B0CLHCWNV8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.UoBxBYP9BEfbTo0IjALuDtrh3m-FCfp1oMqrUDjql0qnPaippa_G5cRD5V3Itz50JRMupvmkIXQ07P8vIorFr8NK6wqsFoot36d9yJBLjr_IuG-K97YC22UqlpBIi7LBWnnqBnOwFs7cq1ZqxjRysgpAnZEGGE62ml5ImLkdj3Z4s2iFnav2zbmBqsNcORFmrK1kZK--pM4gkC1DjvbhmHOAxNaEJFATQUbsaHqKGHK_9Jiy4wVFQMguQPwMrBqxH9X3r4vp-aJ-UFk9Z7ejN1K90Q1wg5diigQuSb2a-M0.YrQFl8Dun5nQBUyFMVnEStp3wKXpo8qm6hd6QvMX6Ag&dib_tag=se&keywords=laptop&qid=1741164861&sr=8-10
